Date,22197,84077,84879,85099B,85123A
2019-01-14,34.0,49.0,24.0,120.0,89.0
2019-01-15,0.0,0.0,0.0,0.0,0.0
2019-01-16,230.0,0.0,4.0,10.0,23.0
2019-01-17,41.0,0.0,33.0,37.0,220.0
2019-01-18,4.0,0.0,16.0,87.0,18.0
2019-01-19,52.0,0.0,8.0,242.0,271.0
2019-01-20,12.0,0.0,24.0,4.0,42.0
2019-01-21,152.0,0.0,24.0,124.0,64.0
2019-01-22,0.0,0.0,0.0,0.0,0.0
2019-01-23,0.0,0.0,34.0,100.0,47.0
2019-01-24,23.0,288.0,208.0,56.0,11.0
2019-01-25,134.0,2.0,32.0,393.0,97.0
2019-01-26,103.0,48.0,24.0,1.0,183.0
2019-01-27,57.0,144.0,16.0,51.0,64.0
2019-01-28,24.0,48.0,40.0,1.0,68.0
2019-01-29,0.0,0.0,0.0,0.0,0.0
2019-01-30,10.0,0.0,24.0,0.0,123.0
2019-01-31,61.0,48.0,366.0,52.0,31.0
2019-02-01,6.0,48.0,304.0,390.0,195.0
2019-02-02,6.0,100.0,224.0,310.0,222.0
2019-02-03,0.0,48.0,24.0,126.0,63.0
2019-02-04,34.0,1.0,8.0,23.0,42.0
2019-02-05,0.0,0.0,0.0,0.0,0.0
2019-02-06,0.0,0.0,11.0,64.0,35.0
2019-02-07,13.0,0.0,8.0,30.0,69.0
2019-02-08,39.0,48.0,8.0,139.0,153.0
2019-02-09,36.0,0.0,16.0,36.0,14.0
2019-02-10,44.0,0.0,72.0,0.0,66.0
2019-02-11,102.0,0.0,32.0,43.0,209.0
2019-02-12,0.0,0.0,0.0,0.0,0.0
2019-02-13,5.0,0.0,24.0,40.0,6.0
2019-02-14,17.0,48.0,236.0,426.0,66.0
2019-02-15,33.0,0.0,84.0,54.0,12.0
2019-02-16,21.0,0.0,156.0,30.0,203.0
2019-02-17,311.0,96.0,24.0,131.0,50.0
2019-02-18,48.0,88.0,80.0,314.0,6.0
2019-02-19,0.0,0.0,0.0,0.0,0.0
2019-02-20,10.0,192.0,8.0,30.0,28.0
2019-02-21,9.0,65.0,40.0,102.0,23.0
2019-02-22,106.0,0.0,40.0,324.0,96.0
2019-02-23,1048.0,144.0,96.0,48.0,116.0
2019-02-24,48.0,0.0,32.0,161.0,99.0
2019-02-25,101.0,0.0,24.0,169.0,40.0
2019-02-26,0.0,0.0,0.0,0.0,0.0
2019-02-27,0.0,48.0,96.0,6.0,27.0
2019-02-28,29.0,0.0,20.0,84.0,37.0
2019-03-01,17.0,96.0,24.0,288.0,86.0
2019-03-02,112.0,288.0,6.0,16.0,33.0
2019-03-03,134.0,0.0,48.0,30.0,96.0
2019-03-04,78.0,144.0,72.0,181.0,27.0
2019-03-05,0.0,0.0,0.0,0.0,0.0
2019-03-06,0.0,0.0,43.0,25.0,101.0
2019-03-07,67.0,0.0,200.0,453.0,26.0
2019-03-08,13.0,144.0,80.0,117.0,145.0
2019-03-09,143.0,48.0,40.0,26.0,98.0
2019-03-10,14.0,336.0,72.0,41.0,57.0
2019-03-11,542.0,0.0,216.0,101.0,125.0
2019-03-12,0.0,0.0,0.0,0.0,0.0
2019-03-13,0.0,96.0,34.0,0.0,3.0
2019-03-14,240.0,240.0,272.0,141.0,19.0
2019-03-15,65.0,48.0,363.0,45.0,114.0
2019-03-16,100.0,48.0,176.0,10.0,141.0
2019-03-17,64.0,96.0,64.0,46.0,87.0
2019-03-18,87.0,0.0,37.0,35.0,57.0
2019-03-19,0.0,0.0,0.0,0.0,0.0
2019-03-20,27.0,48.0,56.0,71.0,47.0
2019-03-21,49.0,0.0,138.0,161.0,38.0
2019-03-22,37.0,48.0,69.0,45.0,84.0
2019-03-23,19.0,48.0,56.0,337.0,83.0
2019-03-24,34.0,0.0,80.0,315.0,52.0
2019-03-25,77.0,96.0,48.0,521.0,31.0
2019-03-26,0.0,0.0,0.0,0.0,0.0
2019-03-27,21.0,0.0,8.0,0.0,77.0
2019-03-28,38.0,96.0,96.0,143.0,44.0
2019-03-29,26.0,0.0,24.0,563.0,185.0
2019-03-30,28.0,144.0,24.0,331.0,68.0
2019-03-31,134.0,96.0,324.0,40.0,75.0
2019-04-01,136.0,0.0,117.0,16.0,133.0
2019-04-02,0.0,0.0,0.0,0.0,0.0
2019-04-03,43.0,0.0,0.0,10.0,77.0
2019-04-04,112.0,0.0,147.0,329.0,66.0
2019-04-05,124.0,48.0,248.0,333.0,51.0
2019-04-06,56.0,48.0,32.0,118.0,65.0
2019-04-07,232.0,200.0,57.0,43.0,50.0
2019-04-08,16.0,48.0,232.0,118.0,68.0
2019-04-09,0.0,0.0,0.0,0.0,0.0
2019-04-10,24.0,48.0,37.0,34.0,74.0
2019-04-11,48.0,96.0,57.0,22.0,45.0
2019-04-12,54.0,336.0,168.0,120.0,198.0
2019-04-13,25.0,48.0,162.0,40.0,73.0
2019-04-14,40.0,0.0,280.0,148.0,127.0
2019-04-15,14.0,48.0,24.0,66.0,8.0
2019-04-16,0.0,0.0,0.0,0.0,0.0
2019-04-17,3.0,192.0,124.0,220.0,23.0
2019-04-18,46.0,50.0,60.0,169.0,172.0
2019-04-19,6.0,53.0,248.0,146.0,110.0
2019-04-20,48.0,48.0,16.0,110.0,73.0
2019-04-21,132.0,192.0,288.0,124.0,137.0
2019-04-22,0.0,0.0,0.0,0.0,0.0
2019-04-23,0.0,0.0,0.0,0.0,0.0
2019-04-24,0.0,0.0,0.0,0.0,0.0
2019-04-25,0.0,0.0,0.0,0.0,0.0
2019-04-26,50.0,48.0,111.0,190.0,179.0
2019-04-27,60.0,0.0,88.0,67.0,73.0
2019-04-28,0.0,192.0,64.0,33.0,111.0
2019-04-29,0.0,0.0,0.0,0.0,0.0
2019-04-30,0.0,0.0,0.0,0.0,0.0
2019-05-01,200.0,0.0,1.0,95.0,12.0
2019-05-02,0.0,0.0,0.0,0.0,0.0
2019-05-03,39.0,48.0,52.0,51.0,317.0
2019-05-04,221.0,432.0,96.0,48.0,85.0
2019-05-05,19.0,53.0,114.0,77.0,421.0
2019-05-06,30.0,240.0,128.0,94.0,179.0
2019-05-07,0.0,0.0,0.0,0.0,0.0
2019-05-08,63.0,144.0,204.0,110.0,142.0
2019-05-09,64.0,0.0,40.0,76.0,216.0
2019-05-10,56.0,288.0,192.0,396.0,161.0
2019-05-11,84.0,288.0,448.0,154.0,120.0
2019-05-12,51.0,0.0,360.0,237.0,227.0
2019-05-13,115.0,0.0,117.0,340.0,25.0
2019-05-14,0.0,0.0,0.0,0.0,0.0
2019-05-15,11.0,96.0,44.0,3.0,143.0
2019-05-16,61.0,48.0,64.0,133.0,201.0
2019-05-17,556.0,432.0,168.0,161.0,166.0
2019-05-18,93.0,144.0,136.0,178.0,73.0
2019-05-19,140.0,96.0,48.0,162.0,109.0
2019-05-20,420.0,288.0,136.0,273.0,92.0
2019-05-21,0.0,0.0,0.0,0.0,0.0
2019-05-22,30.0,0.0,43.0,71.0,153.0
2019-05-23,44.0,144.0,116.0,365.0,113.0
2019-05-24,63.0,192.0,100.0,251.0,144.0
2019-05-25,73.0,96.0,29.0,255.0,68.0
2019-05-26,38.0,96.0,264.0,6.0,45.0
2019-05-27,14.0,48.0,16.0,44.0,22.0
2019-05-28,0.0,0.0,0.0,0.0,0.0
2019-05-29,30.0,0.0,40.0,12.0,26.0
2019-05-30,0.0,0.0,0.0,0.0,0.0
2019-05-31,34.0,48.0,104.0,29.0,168.0
2019-06-01,6.0,50.0,64.0,21.0,29.0
2019-06-02,44.0,3.0,56.0,155.0,354.0
2019-06-03,368.0,48.0,64.0,33.0,29.0
2019-06-04,0.0,0.0,0.0,0.0,0.0
2019-06-05,81.0,144.0,96.0,35.0,49.0
2019-06-06,17.0,0.0,64.0,123.0,108.0
2019-06-07,19.0,336.0,44.0,317.0,56.0
2019-06-08,51.0,96.0,104.0,135.0,110.0
2019-06-09,161.0,48.0,32.0,88.0,15.0
2019-06-10,105.0,0.0,40.0,72.0,68.0
2019-06-11,0.0,0.0,0.0,0.0,0.0
2019-06-12,57.0,0.0,8.0,148.0,33.0
2019-06-13,33.0,1.0,16.0,35.0,17.0
2019-06-14,127.0,48.0,52.0,234.0,50.0
2019-06-15,128.0,0.0,48.0,313.0,120.0
2019-06-16,13.0,0.0,57.0,134.0,42.0
2019-06-17,82.0,48.0,233.0,120.0,15.0
2019-06-18,0.0,0.0,0.0,0.0,0.0
2019-06-19,54.0,48.0,40.0,123.0,147.0
2019-06-20,59.0,384.0,24.0,356.0,29.0
2019-06-21,49.0,96.0,106.0,162.0,13.0
2019-06-22,1.0,240.0,60.0,120.0,18.0
2019-06-23,110.0,97.0,48.0,142.0,106.0
2019-06-24,126.0,144.0,56.0,31.0,38.0
2019-06-25,0.0,0.0,0.0,0.0,0.0
2019-06-26,0.0,0.0,0.0,30.0,32.0
2019-06-27,60.0,48.0,76.0,237.0,66.0
2019-06-28,56.0,96.0,40.0,223.0,13.0
2019-06-29,24.0,3.0,104.0,60.0,77.0
2019-06-30,264.0,144.0,56.0,235.0,46.0
2019-07-01,26.0,0.0,16.0,57.0,39.0
2019-07-02,0.0,0.0,0.0,0.0,0.0
2019-07-03,0.0,0.0,0.0,4.0,18.0
2019-07-04,57.0,97.0,32.0,51.0,9.0
2019-07-05,227.0,56.0,92.0,296.0,134.0
2019-07-06,16.0,49.0,136.0,200.0,5.0
2019-07-07,48.0,235.0,120.0,376.0,59.0
2019-07-08,259.0,96.0,64.0,434.0,37.0
2019-07-09,0.0,0.0,0.0,0.0,0.0
2019-07-10,29.0,0.0,16.0,7.0,20.0
2019-07-11,14.0,672.0,119.0,22.0,81.0
2019-07-12,20.0,0.0,8.0,31.0,277.0
2019-07-13,35.0,48.0,82.0,76.0,58.0
2019-07-14,70.0,48.0,64.0,123.0,224.0
2019-07-15,4.0,192.0,16.0,44.0,23.0
2019-07-16,0.0,0.0,0.0,0.0,0.0
2019-07-17,14.0,144.0,83.0,135.0,23.0
2019-07-18,48.0,0.0,82.0,71.0,120.0
2019-07-19,97.0,240.0,134.0,273.0,157.0
2019-07-20,74.0,96.0,18.0,279.0,104.0
2019-07-21,168.0,240.0,160.0,45.0,56.0
2019-07-22,100.0,102.0,56.0,40.0,132.0
2019-07-23,0.0,0.0,0.0,0.0,0.0
2019-07-24,134.0,48.0,69.0,25.0,160.0
2019-07-25,31.0,290.0,104.0,59.0,43.0
2019-07-26,25.0,100.0,16.0,148.0,8.0
2019-07-27,72.0,49.0,56.0,162.0,58.0
2019-07-28,18.0,288.0,86.0,48.0,490.0
2019-07-29,86.0,48.0,152.0,111.0,74.0
2019-07-30,0.0,0.0,0.0,0.0,0.0
2019-07-31,204.0,48.0,64.0,12.0,107.0
2019-08-01,21.0,0.0,88.0,348.0,61.0
2019-08-02,45.0,0.0,24.0,54.0,32.0
2019-08-03,15.0,96.0,82.0,38.0,91.0
2019-08-04,136.0,2.0,479.0,453.0,130.0
2019-08-05,61.0,0.0,86.0,134.0,38.0
2019-08-06,0.0,0.0,0.0,0.0,0.0
2019-08-07,0.0,0.0,161.0,23.0,89.0
2019-08-08,257.0,96.0,128.0,358.0,73.0
2019-08-09,3.0,0.0,48.0,263.0,121.0
2019-08-10,0.0,97.0,96.0,557.0,132.0
2019-08-11,91.0,336.0,40.0,147.0,71.0
2019-08-12,160.0,48.0,32.0,26.0,28.0
2019-08-13,0.0,0.0,0.0,0.0,0.0
2019-08-14,24.0,0.0,11.0,22.0,52.0
2019-08-15,100.0,144.0,64.0,62.0,104.0
2019-08-16,33.0,144.0,60.0,45.0,87.0
2019-08-17,194.0,48.0,32.0,281.0,70.0
2019-08-18,38.0,0.0,95.0,390.0,15.0
2019-08-19,98.0,144.0,224.0,100.0,6.0
2019-08-20,0.0,0.0,0.0,0.0,0.0
2019-08-21,55.0,48.0,81.0,478.0,15.0
2019-08-22,36.0,48.0,206.0,130.0,420.0
2019-08-23,49.0,240.0,48.0,151.0,122.0
2019-08-24,76.0,576.0,96.0,1068.0,61.0
2019-08-25,34.0,0.0,400.0,108.0,107.0
2019-08-26,13.0,96.0,40.0,50.0,24.0
2019-08-27,0.0,0.0,0.0,0.0,0.0
2019-08-28,18.0,96.0,60.0,11.0,42.0
2019-08-29,0.0,0.0,0.0,0.0,0.0
2019-08-30,40.0,2.0,8.0,38.0,63.0
2019-08-31,124.0,0.0,16.0,167.0,39.0
2019-09-01,101.0,144.0,96.0,301.0,112.0
2019-09-02,667.0,48.0,16.0,153.0,166.0
2019-09-03,0.0,0.0,0.0,0.0,0.0
2019-09-04,24.0,96.0,80.0,58.0,16.0
2019-09-05,105.0,144.0,48.0,54.0,95.0
2019-09-06,27.0,0.0,88.0,84.0,184.0
2019-09-07,79.0,48.0,72.0,265.0,25.0
2019-09-08,67.0,48.0,136.0,47.0,27.0
2019-09-09,136.0,48.0,40.0,53.0,29.0
2019-09-10,0.0,0.0,0.0,0.0,0.0
2019-09-11,102.0,144.0,104.0,53.0,89.0
2019-09-12,209.0,48.0,48.0,83.0,117.0
2019-09-13,50.0,384.0,296.0,144.0,133.0
2019-09-14,102.0,0.0,48.0,3.0,85.0
2019-09-15,35.0,624.0,400.0,167.0,146.0
2019-09-16,134.0,192.0,68.0,119.0,101.0
2019-09-17,0.0,0.0,0.0,0.0,0.0
2019-09-18,40.0,48.0,48.0,227.0,81.0
2019-09-19,222.0,48.0,104.0,493.0,42.0
2019-09-20,181.0,96.0,64.0,150.0,399.0
2019-09-21,143.0,11.0,56.0,419.0,11.0
2019-09-22,25.0,240.0,348.0,268.0,58.0
2019-09-23,99.0,96.0,32.0,276.0,131.0
2019-09-24,0.0,0.0,0.0,0.0,0.0
2019-09-25,12.0,96.0,97.0,61.0,69.0
2019-09-26,27.0,101.0,245.0,220.0,48.0
2019-09-27,85.0,144.0,74.0,174.0,21.0
2019-09-28,143.0,184.0,224.0,91.0,125.0
2019-09-29,296.0,144.0,184.0,372.0,80.0
2019-09-30,85.0,339.0,48.0,66.0,113.0
2019-10-01,0.0,0.0,0.0,0.0,0.0
2019-10-02,39.0,96.0,24.0,6.0,21.0
2019-10-03,76.0,151.0,72.0,43.0,23.0
2019-10-04,147.0,118.0,84.0,77.0,20.0
2019-10-05,50.0,384.0,91.0,361.0,49.0
2019-10-06,389.0,0.0,285.0,583.0,13.0
2019-10-07,47.0,96.0,48.0,623.0,34.0
2019-10-08,0.0,0.0,0.0,0.0,0.0
2019-10-09,126.0,240.0,9.0,22.0,26.0
2019-10-10,159.0,196.0,40.0,62.0,127.0
2019-10-11,124.0,145.0,76.0,368.0,46.0
2019-10-12,210.0,101.0,56.0,78.0,25.0
2019-10-13,133.0,96.0,116.0,274.0,243.0
2019-10-14,252.0,48.0,72.0,147.0,187.0
2019-10-15,0.0,0.0,0.0,0.0,0.0
2019-10-16,6.0,144.0,60.0,18.0,55.0
2019-10-17,534.0,63.0,392.0,409.0,69.0
2019-10-18,294.0,48.0,48.0,112.0,21.0
2019-10-19,247.0,192.0,158.0,54.0,42.0
2019-10-20,15.0,192.0,156.0,341.0,26.0
2019-10-21,62.0,432.0,16.0,122.0,13.0
2019-10-22,0.0,0.0,0.0,0.0,0.0
2019-10-23,12.0,48.0,59.0,7.0,63.0
2019-10-24,232.0,240.0,128.0,287.0,76.0
2019-10-25,251.0,48.0,80.0,161.0,16.0
2019-10-26,43.0,144.0,217.0,48.0,20.0
2019-10-27,47.0,48.0,40.0,41.0,117.0
2019-10-28,73.0,0.0,49.0,12.0,90.0
2019-10-29,0.0,0.0,0.0,0.0,0.0
2019-10-30,137.0,48.0,264.0,51.0,128.0
2019-10-31,210.0,62.0,120.0,105.0,152.0
2019-11-01,286.0,0.0,294.0,84.0,39.0
2019-11-02,172.0,288.0,128.0,244.0,80.0
2019-11-03,20.0,240.0,210.0,452.0,273.0
2019-11-04,174.0,288.0,80.0,58.0,85.0
2019-11-05,0.0,0.0,0.0,0.0,0.0
2019-11-06,294.0,96.0,136.0,120.0,86.0
2019-11-07,192.0,0.0,24.0,146.0,98.0
2019-11-08,172.0,384.0,56.0,159.0,111.0
2019-11-09,379.0,144.0,112.0,725.0,113.0
2019-11-10,339.0,245.0,200.0,74.0,71.0
2019-11-11,184.0,250.0,100.0,48.0,134.0
2019-11-12,0.0,0.0,0.0,0.0,0.0
2019-11-13,114.0,144.0,56.0,48.0,67.0
2019-11-14,637.0,340.0,303.0,660.0,380.0
2019-11-15,224.0,101.0,107.0,380.0,457.0
2019-11-16,352.0,293.0,297.0,316.0,160.0
2019-11-17,135.0,192.0,94.0,97.0,102.0
2019-11-18,449.0,148.0,368.0,62.0,125.0
2019-11-19,0.0,0.0,0.0,0.0,0.0
2019-11-20,218.0,96.0,157.0,87.0,102.0
2019-11-21,349.0,348.0,190.0,147.0,36.0
2019-11-22,162.0,97.0,132.0,132.0,253.0
2019-11-23,497.0,257.0,80.0,146.0,251.0
2019-11-24,558.0,19.0,355.0,245.0,131.0
2019-11-25,342.0,98.0,272.0,55.0,225.0
2019-11-26,0.0,0.0,0.0,0.0,0.0
2019-11-27,47.0,96.0,8.0,28.0,8.0
2019-11-28,248.0,58.0,56.0,42.0,133.0
2019-11-29,796.0,96.0,127.0,165.0,117.0
2019-11-30,470.0,241.0,112.0,189.0,315.0
2019-12-01,279.0,198.0,88.0,149.0,41.0
2019-12-02,369.0,96.0,504.0,493.0,117.0
2019-12-03,0.0,0.0,0.0,0.0,0.0
2019-12-04,113.0,0.0,66.0,12.0,8.0
2019-12-05,410.0,205.0,133.0,66.0,313.0
2019-12-06,337.0,243.0,240.0,175.0,39.0
2019-12-07,368.0,240.0,256.0,89.0,202.0
2019-12-08,411.0,336.0,11.0,106.0,115.0
2019-12-09,230.0,49.0,32.0,15.0,4.0
2019-12-10,218.0,35.0,0.0,0.0,0.0
2019-12-11,179.0,109.0,0.0,0.0,0.0
2019-12-12,294.0,193.0,430.0,165.0,56.0
2019-12-13,410.0,89.0,11.0,0.0,42.0
2019-12-14,195.0,259.0,85.0,72.0,34.0
2019-12-15,366.0,1.0,108.0,0.0,69.0
2019-12-16,133.0,20.0,0.0,0.0,0.0
2019-12-17,38.0,24.0,74.0,0.0,0.0
2019-12-18,161.0,0.0,119.0,58.0,14.0
2019-12-19,144.0,204.0,0.0,0.0,0.0
2019-12-20,328.0,32.0,279.0,0.0,29.0
2019-12-21,205.0,170.0,0.0,27.0,0.0
2019-12-22,17.0,258.0,12.0,0.0,0.0
2019-12-23,165.0,92.0,0.0,0.0,147.0
2019-12-24,0.0,9.0,0.0,0.0,0.0
2019-12-25,66.0,103.0,0.0,0.0,0.0
2019-12-26,153.0,60.0,0.0,0.0,0.0
2019-12-27,30.0,110.0,0.0,0.0,0.0
2019-12-28,133.0,25.0,0.0,0.0,0.0
2019-12-29,224.0,262.0,34.0,0.0,0.0
2019-12-30,166.0,38.0,203.0,44.0,0.0
2019-12-31,22.0,0.0,0.0,0.0,0.0
2020-01-01,54.0,87.0,47.0,0.0,0.0
2020-01-02,76.0,169.0,0.0,0.0,0.0
2020-01-03,116.0,110.0,0.0,176.0,0.0
2020-01-04,344.0,387.0,0.0,123.0,0.0
2020-01-05,184.0,40.0,51.0,0.0,0.0
2020-01-06,147.0,20.0,0.0,0.0,0.0
2020-01-07,87.0,0.0,0.0,0.0,0.0
2020-01-08,187.0,62.0,0.0,0.0,0.0
2020-01-09,221.0,419.0,0.0,0.0,0.0
2020-01-10,202.0,98.0,0.0,86.0,62.0
2020-01-11,361.0,293.0,0.0,90.0,3.0
2020-01-12,79.0,630.0,11.0,46.0,0.0
2020-01-13,281.0,43.0,14.0,353.0,0.0
2020-01-14,18.0,67.0,68.0,0.0,0.0
2020-01-15,228.0,84.0,0.0,0.0,0.0
2020-01-16,223.0,106.0,7.0,37.0,0.0
2020-01-17,229.0,91.0,150.0,311.0,0.0
2020-01-18,168.0,40.0,0.0,0.0,37.0
2020-01-19,403.0,155.0,53.0,105.0,0.0
2020-01-20,166.0,327.0,0.0,0.0,0.0
2020-01-21,109.0,70.0,0.0,0.0,0.0
2020-01-22,105.0,119.0,0.0,0.0,0.0
2020-01-23,120.0,200.0,0.0,51.0,0.0
2020-01-24,190.0,27.0,245.0,8.0,0.0
2020-01-25,252.0,166.0,0.0,1.0,0.0
2020-01-26,242.0,310.0,173.0,0.0,0.0
2020-01-27,73.0,189.0,0.0,203.0,0.0
2020-01-28,20.0,0.0,0.0,0.0,0.0
2020-01-29,77.0,42.0,0.0,0.0,272.0
2020-01-30,207.0,68.0,9.0,0.0,0.0
2020-01-31,136.0,372.0,97.0,79.0,0.0
2020-02-01,167.0,75.0,31.0,71.0,0.0
2020-02-02,213.0,201.0,3.0,0.0,0.0
2020-02-03,159.0,59.0,0.0,0.0,0.0
2020-02-04,34.0,0.0,0.0,0.0,0.0
2020-02-05,144.0,320.0,0.0,0.0,0.0
2020-02-06,90.0,107.0,8.0,0.0,0.0
2020-02-07,140.0,55.0,0.0,0.0,0.0
2020-02-08,168.0,146.0,0.0,325.0,0.0
2020-02-09,99.0,111.0,7.0,5.0,0.0
2020-02-10,180.0,54.0,0.0,186.0,0.0
2020-02-11,57.0,0.0,69.0,264.0,0.0
2020-02-12,298.0,56.0,0.0,0.0,0.0
2020-02-13,0.0,130.0,0.0,0.0,0.0
2020-02-14,350.0,146.0,23.0,46.0,0.0
2020-02-15,277.0,128.0,0.0,0.0,0.0
2020-02-16,193.0,123.0,25.0,210.0,0.0
2020-02-17,207.0,61.0,0.0,35.0,150.0
2020-02-18,265.0,0.0,0.0,0.0,0.0
2020-02-19,108.0,308.0,0.0,0.0,0.0
2020-02-20,139.0,39.0,93.0,0.0,14.0
2020-02-21,129.0,124.0,225.0,309.0,19.0
2020-02-22,247.0,260.0,114.0,112.0,0.0
2020-02-23,267.0,126.0,0.0,97.0,0.0
2020-02-24,244.0,51.0,30.0,0.0,0.0
2020-02-25,156.0,1.0,0.0,0.0,0.0
2020-02-26,182.0,409.0,0.0,0.0,0.0
2020-02-27,255.0,102.0,0.0,86.0,0.0
2020-02-28,370.0,389.0,5.0,54.0,0.0
2020-02-29,288.0,188.0,14.0,174.0,1.0
2020-03-01,245.0,75.0,1.0,0.0,0.0
2020-03-02,195.0,64.0,70.0,853.0,0.0
2020-03-03,132.0,1.0,54.0,0.0,0.0
2020-03-04,189.0,427.0,128.0,0.0,0.0
2020-03-05,367.0,163.0,0.0,54.0,0.0
2020-03-06,267.0,194.0,48.0,0.0,0.0
2020-03-07,437.0,52.0,0.0,82.0,0.0
2020-03-08,148.0,101.0,0.0,72.0,0.0
2020-03-09,683.0,85.0,41.0,0.0,0.0
2020-03-10,315.0,7.0,0.0,0.0,0.0
2020-03-11,113.0,58.0,0.0,87.0,0.0
2020-03-12,114.0,159.0,0.0,0.0,0.0
2020-03-13,226.0,129.0,111.0,14.0,0.0
2020-03-14,284.0,61.0,0.0,130.0,0.0
2020-03-15,283.0,114.0,61.0,0.0,0.0
2020-03-16,242.0,195.0,0.0,389.0,0.0
2020-03-17,55.0,0.0,0.0,0.0,0.0
2020-03-18,106.0,125.0,0.0,402.0,0.0
2020-03-19,49.0,152.0,0.0,101.0,48.0
2020-03-20,238.0,73.0,38.0,114.0,71.0
2020-03-21,141.0,58.0,48.0,265.0,0.0
2020-03-22,1092.0,410.0,124.0,134.0,0.0
2020-03-23,262.0,349.0,0.0,442.0,0.0
2020-03-24,102.0,0.0,0.0,0.0,0.0
2020-03-25,157.0,144.0,36.0,44.0,168.0
2020-03-26,258.0,135.0,20.0,380.0,0.0
2020-03-27,205.0,24.0,38.0,51.0,0.0
2020-03-28,503.0,106.0,0.0,529.0,0.0
2020-03-29,186.0,282.0,243.0,84.0,0.0
2020-03-30,197.0,11.0,0.0,4.0,0.0
2020-03-31,122.0,44.0,0.0,0.0,0.0
2020-04-01,130.0,84.0,0.0,0.0,0.0
2020-04-02,199.0,133.0,41.0,251.0,0.0
2020-04-03,230.0,155.0,26.0,116.0,61.0
2020-04-04,270.0,184.0,52.0,114.0,0.0
2020-04-05,181.0,100.0,128.0,77.0,93.0
2020-04-06,159.0,49.0,0.0,47.0,0.0
2020-04-07,201.0,0.0,0.0,0.0,0.0
2020-04-08,156.0,84.0,7.0,0.0,0.0
2020-04-09,216.0,153.0,92.0,92.0,0.0
2020-04-10,300.0,79.0,38.0,143.0,0.0
2020-04-11,203.0,91.0,8.0,0.0,0.0
2020-04-12,139.0,152.0,23.0,90.0,1.0
2020-04-13,136.0,59.0,0.0,60.0,0.0
2020-04-14,103.0,0.0,0.0,0.0,0.0
2020-04-15,146.0,125.0,0.0,0.0,0.0
2020-04-16,155.0,49.0,55.0,7.0,0.0
2020-04-17,116.0,146.0,0.0,54.0,0.0
2020-04-18,289.0,117.0,40.0,0.0,0.0
2020-04-19,107.0,152.0,82.0,199.0,242.0
2020-04-20,90.0,112.0,0.0,0.0,0.0
2020-04-21,13.0,0.0,0.0,0.0,0.0
2020-04-22,65.0,44.0,0.0,0.0,40.0
2020-04-23,96.0,87.0,10.0,46.0,0.0
2020-04-24,115.0,441.0,40.0,96.0,11.0
2020-04-25,0.0,60.0,45.0,64.0,0.0
2020-04-26,448.0,223.0,87.0,0.0,0.0
2020-04-27,337.0,88.0,114.0,0.0,0.0
2020-04-28,26.0,0.0,0.0,0.0,0.0
2020-04-29,61.0,245.0,57.0,0.0,0.0
